Date,TotalCost,IsAnomaly
2025-07-28,231.21,False
2025-07-29,229.06,False
2025-07-30,230.71,False
2025-07-31,235.96,False
2025-08-01,230.06,False
2025-08-02,124.63,False
2025-08-03,119.66,False
2025-08-04,230.14000000000001,False
2025-08-05,241.63,False
2025-08-06,239.22,False
2025-08-07,239.13,False
2025-08-08,224.78,False
2025-08-09,116.39,False
2025-08-10,117.34,False
2025-08-11,245.29,False
2025-08-12,245.3,False
2025-08-13,228.29,False
2025-08-14,235.67000000000002,False
2025-08-15,222.17,False
2025-08-16,119.66,False
2025-08-17,121.89,False
2025-08-18,247.53,False
2025-08-19,243.28,False
2025-08-20,219.69,False
2025-08-21,228.65,False
2025-08-22,244.98,False
2025-08-23,131.44,False
2025-08-24,118.61,False
2025-08-25,243.07,False
2025-08-26,250.94,False
2025-08-27,240.23,False
2025-08-28,247.37,False
2025-08-29,226.32999999999998,False
2025-08-30,120.88,False
2025-08-31,126.11,False
2025-09-01,251.65,False
2025-09-02,228.0,False
2025-09-03,245.55,False
2025-09-04,221.81,False
2025-09-05,233.63,False
2025-09-06,125.55,False
2025-09-07,118.1,False
2025-09-08,241.20999999999998,False
2025-09-09,247.10999999999999,False
2025-09-10,242.29999999999998,False
2025-09-11,236.01,False
2025-09-12,242.18,False
2025-09-13,124.25,False
2025-09-14,115.64,False
2025-09-15,258.96,False
2025-09-16,242.46,False
2025-09-17,239.45,False
2025-09-18,234.64,False
2025-09-19,247.77,False
2025-09-20,118.14,False
2025-09-21,118.39999999999999,False
2025-09-22,251.35,False
2025-09-23,252.9,False
2025-09-24,242.95,False
2025-09-25,243.94,False
2025-09-26,224.3,False
2025-09-27,123.38,False
2025-09-28,124.15,False
2025-09-29,260.95,False
2025-09-30,250.28,False
2025-10-01,258.64,False
2025-10-02,241.57,False
2025-10-03,254.10999999999999,False
2025-10-04,125.11,False
2025-10-05,126.61,False
2025-10-06,249.16,False
2025-10-07,246.36,False
2025-10-08,247.59,False
2025-10-09,257.37,False
2025-10-10,258.74,False
2025-10-11,131.76,False
2025-10-12,118.28,False
2025-10-13,247.09,False
2025-10-14,247.73000000000002,False
2025-10-15,260.94,False
2025-10-16,261.16,False
2025-10-17,277.36,False
2025-10-18,127.25,False
2025-10-19,122.92,False
2025-10-20,232.55,False
2025-10-21,244.51999999999998,False
2025-10-22,251.31,False
2025-10-23,256.64,False
2025-10-24,258.14,False
2025-10-25,123.21000000000001,False
2025-10-26,127.1,False
