Date,AccountId,AccountName,Service,Region,Cost,Currency,Month,Year,MonthName,Week,DayOfWeek,DayName,IsWeekend,YearMonth,ServiceCategory
2025-07-28,123456789012,Production,Amazon EC2,us-west-2,17.26,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789013,Development,Amazon EC2,us-east-1,15.52,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789014,Testing,Amazon EC2,us-west-2,18.24,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789012,Production,Amazon S3,us-west-2,5.1,USD,7,2025,July,31,0,Monday,False,2025-07,Storage
2025-07-28,123456789013,Development,Amazon S3,us-west-2,7.86,USD,7,2025,July,31,0,Monday,False,2025-07,Storage
2025-07-28,123456789014,Testing,Amazon S3,us-east-1,7.29,USD,7,2025,July,31,0,Monday,False,2025-07,Storage
2025-07-28,123456789012,Production,Amazon RDS,us-west-2,15.7,USD,7,2025,July,31,0,Monday,False,2025-07,Database
2025-07-28,123456789013,Development,Amazon RDS,us-east-1,15.82,USD,7,2025,July,31,0,Monday,False,2025-07,Database
2025-07-28,123456789014,Testing,Amazon RDS,us-west-2,10.76,USD,7,2025,July,31,0,Monday,False,2025-07,Database
2025-07-28,123456789012,Production,AWS Lambda,eu-west-1,2.84,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789013,Development,AWS Lambda,us-east-1,2.07,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789014,Testing,AWS Lambda,us-east-1,2.33,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789012,Production,Amazon CloudFront,us-east-1,12.21,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
2025-07-28,123456789013,Development,Amazon CloudFront,eu-west-1,11.39,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
2025-07-28,123456789014,Testing,Amazon CloudFront,ap-southeast-1,12.16,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
2025-07-28,123456789012,Production,Amazon DynamoDB,eu-west-1,3.72,USD,7,2025,July,31,0,Monday,False,2025-07,Database
2025-07-28,123456789013,Development,Amazon DynamoDB,eu-west-1,3.76,USD,7,2025,July,31,0,Monday,False,2025-07,Database
2025-07-28,123456789014,Testing,Amazon DynamoDB,us-west-2,3.15,USD,7,2025,July,31,0,Monday,False,2025-07,Database
2025-07-28,123456789012,Production,Amazon ECS,eu-west-1,15.32,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789013,Development,Amazon ECS,ap-southeast-1,17.77,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789014,Testing,Amazon ECS,us-west-2,12.96,USD,7,2025,July,31,0,Monday,False,2025-07,Compute
2025-07-28,123456789012,Production,Amazon VPC,us-east-1,1.32,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
2025-07-28,123456789013,Development,Amazon VPC,us-east-1,1.18,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
2025-07-28,123456789014,Testing,Amazon VPC,ap-southeast-1,1.15,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
2025-07-28,123456789012,Production,AWS Data Transfer,ap-southeast-1,5.6,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
2025-07-28,123456789013,Development,AWS Data Transfer,us-west-2,4.4,USD,7,2025,July,31,0,Monday,False,2025-07,Networking
