Date,AccountId,AccountName,Service,Region,Cost,Currency,Month
2025-07-28,123456789012,Production,Amazon EC2,ap-southeast-1,22.47,USD,2025-07
2025-07-28,123456789013,Development,Amazon EC2,us-east-1,20.65,USD,2025-07
2025-07-28,123456789014,Testing,Amazon EC2,ap-southeast-1,22.97,USD,2025-07
2025-07-28,123456789012,Production,Amazon S3,us-west-2,6.21,USD,2025-07
2025-07-28,123456789013,Development,Amazon S3,eu-west-1,5.05,USD,2025-07
2025-07-28,123456789014,Testing,Amazon S3,us-west-2,7.6,USD,2025-07
2025-07-28,123456789012,Production,Amazon RDS,us-east-1,12.75,USD,2025-07
2025-07-28,123456789013,Development,Amazon RDS,us-east-1,14.99,USD,2025-07
2025-07-28,123456789014,Testing,Amazon RDS,ap-southeast-1,11.67,USD,2025-07
2025-07-28,123456789012,Production,AWS Lambda,eu-west-1,2.94,USD,2025-07
2025-07-28,123456789013,Development,AWS Lambda,ap-southeast-1,2.98,USD,2025-07
2025-07-28,123456789014,Testing,AWS Lambda,us-east-1,2.59,USD,2025-07
2025-07-28,123456789012,Production,Amazon CloudFront,ap-southeast-1,9.28,USD,2025-07
2025-07-28,123456789013,Development,Amazon CloudFront,ap-southeast-1,10.76,USD,2025-07
2025-07-28,123456789014,Testing,Amazon CloudFront,ap-southeast-1,8.76,USD,2025-07
2025-07-28,123456789012,Production,Amazon DynamoDB,us-east-1,3.52,USD,2025-07
2025-07-28,123456789013,Development,Amazon DynamoDB,ap-southeast-1,3.58,USD,2025-07
2025-07-28,123456789014,Testing,Amazon DynamoDB,us-east-1,3.14,USD,2025-07
2025-07-28,123456789012,Production,Amazon ECS,us-west-2,19.13,USD,2025-07
2025-07-28,123456789013,Development,Amazon ECS,ap-southeast-1,16.11,USD,2025-07
2025-07-28,123456789014,Testing,Amazon ECS,ap-southeast-1,17.68,USD,2025-07
2025-07-28,123456789012,Production,Amazon VPC,us-west-2,1.38,USD,2025-07
2025-07-28,123456789013,Development,Amazon VPC,eu-west-1,1.3,USD,2025-07
2025-07-28,123456789014,Testing,Amazon VPC,us-west-2,1.12,USD,2025-07
2025-07-28,123456789012,Production,AWS Data Transfer,us-west-2,4.3,USD,2025-07
2025-07-28,123456789013,Development,AWS Data Transfer,us-west-2,5.64,USD,2025-07
2025-07-28,123456789014,Testing,AWS Data Transfer,us-west-2,4.89,USD,2025-07
2025-07-29,123456789012,Production,Amazon EC2,us-east-1,16.83,USD,2025-07
2025-07-29,123456789013,Development,Amazon EC2,ap-southeast-1,23.62,USD,2025-07
2025-07-29,123456789014,Testing,Amazon EC2,ap-southeast-1,23.89,USD,2025-07
2025-07-29,123456789012,Production,Amazon S3,us-east-1,5.22,USD,2025-07
