Date,AccountId,AccountName,Service,Region,Cost,Currency,Month
2025-07-27,123456789012,Production,Amazon EC2,us-east-1,10.28,USD,2025-07
2025-07-27,123456789013,Development,Amazon EC2,ap-southeast-1,11.94,USD,2025-07
2025-07-27,123456789014,Testing,Amazon EC2,eu-west-1,11.14,USD,2025-07
2025-07-27,123456789012,Production,Amazon S3,ap-southeast-1,2.78,USD,2025-07
2025-07-27,123456789013,Development,Amazon S3,us-west-2,3.86,USD,2025-07
2025-07-27,123456789014,Testing,Amazon S3,eu-west-1,2.53,USD,2025-07
2025-07-27,123456789012,Production,Amazon RDS,ap-southeast-1,6.93,USD,2025-07
2025-07-27,123456789013,Development,Amazon RDS,eu-west-1,5.77,USD,2025-07
2025-07-27,123456789014,Testing,Amazon RDS,ap-southeast-1,6.5,USD,2025-07
2025-07-27,123456789012,Production,AWS Lambda,ap-southeast-1,1.48,USD,2025-07
2025-07-27,123456789013,Development,AWS Lambda,us-east-1,1.18,USD,2025-07
2025-07-27,123456789014,Testing,AWS Lambda,eu-west-1,1.37,USD,2025-07
2025-07-27,123456789012,Production,Amazon CloudFront,ap-southeast-1,4.73,USD,2025-07
2025-07-27,123456789013,Development,Amazon CloudFront,ap-southeast-1,5.26,USD,2025-07
2025-07-27,123456789014,Testing,Amazon CloudFront,us-east-1,5.92,USD,2025-07
2025-07-27,123456789012,Production,Amazon DynamoDB,us-west-2,1.88,USD,2025-07
2025-07-27,123456789013,Development,Amazon DynamoDB,us-west-2,2.31,USD,2025-07
2025-07-27,123456789014,Testing,Amazon DynamoDB,us-west-2,2.08,USD,2025-07
2025-07-27,123456789012,Production,Amazon ECS,us-east-1,6.14,USD,2025-07
2025-07-27,123456789013,Development,Amazon ECS,us-west-2,7.29,USD,2025-07
2025-07-27,123456789014,Testing,Amazon ECS,eu-west-1,8.6,USD,2025-07
2025-07-27,123456789012,Production,Amazon VPC,us-east-1,0.5,USD,2025-07
2025-07-27,123456789013,Development,Amazon VPC,us-east-1,0.74,USD,2025-07
2025-07-27,123456789014,Testing,Amazon VPC,us-west-2,0.8,USD,2025-07
2025-07-27,123456789012,Production,AWS Data Transfer,us-west-2,2.63,USD,2025-07
2025-07-27,123456789013,Development,AWS Data Transfer,us-west-2,2.04,USD,2025-07
2025-07-27,123456789014,Testing,AWS Data Transfer,us-east-1,2.96,USD,2025-07
2025-07-28,123456789012,Production,Amazon EC2,us-east-1,23.84,USD,2025-07
2025-07-28,123456789013,Development,Amazon EC2,ap-southeast-1,21.33,USD,2025-07
2025-07-28,123456789014,Testing,Amazon EC2,eu-west-1,21.79,USD,2025-07
2025-07-28,123456789012,Production,Amazon S3,us-west-2,6.56,USD,2025-07
2025-07-28,123456789013,Development,Amazon S3,us-west-2,7.53,USD,2025-07
2025-07-28,123456789014,Testing,Amazon S3,us-west-2,6.74,USD,2025-07
2025-07-28,123456789012,Production,Amazon RDS,us-east-1,15.5,USD,2025-07
2025-07-28,123456789013,Development,Amazon RDS,eu-west-1,10.11,USD,2025-07
2025-07-28,123456789014,Testing,Amazon RDS,eu-west-1,13.16,USD,2025-07
2025-07-28,123456789012,Production,AWS Lambda,eu-west-1,2.99,USD,2025-07
2025-07-28,123456789013,Development,AWS Lambda,us-east-1,3.03,USD,2025-07
2025-07-28,123456789014,Testing,AWS Lambda,eu-west-1,2.21,USD,2025-07
2025-07-28,123456789012,Production,Amazon CloudFront,us-east-1,8.73,USD,2025-07
2025-07-28,123456789013,Development,Amazon CloudFront,ap-southeast-1,8.22,USD,2025-07
2025-07-28,123456789014,Testing,Amazon CloudFront,eu-west-1,10.91,USD,2025-07
2025-07-28,123456789012,Production,Amazon DynamoDB,eu-west-1,3.62,USD,2025-07
2025-07-28,123456789013,Development,Amazon DynamoDB,ap-southeast-1,3.04,USD,2025-07
2025-07-28,123456789014,Testing,Amazon DynamoDB,ap-southeast-1,4.44,USD,2025-07
2025-07-28,123456789012,Production,Amazon ECS,ap-southeast-1,15.09,USD,2025-07
2025-07-28,123456789013,Development,Amazon ECS,us-east-1,16.83,USD,2025-07
2025-07-28,123456789014,Testing,Amazon ECS,ap-southeast-1,17.71,USD,2025-07
2025-07-28,123456789012,Production,Amazon VPC,ap-southeast-1,1.19,USD,2025-07
2025-07-28,123456789013,Development,Amazon VPC,us-west-2,1.42,USD,2025-07
2025-07-28,123456789014,Testing,Amazon VPC,ap-southeast-1,1.24,USD,2025-07
2025-07-28,123456789012,Production,AWS Data Transfer,ap-southeast-1,4.61,USD,2025-07
2025-07-28,123456789013,Development,AWS Data Transfer,eu-west-1,4.58,USD,2025-07
2025-07-28,123456789014,Testing,AWS Data Transfer,ap-southeast-1,5.81,USD,2025-07
2025-07-29,123456789012,Production,Amazon EC2,eu-west-1,19.4,USD,2025-07
2025-07-29,123456789013,Development,Amazon EC2,ap-southeast-1,17.22,USD,2025-07
2025-07-29,123456789014,Testing,Amazon EC2,eu-west-1,20.3,USD,2025-07
2025-07-29,123456789012,Production,Amazon S3,us-west-2,5.91,USD,2025-07
2025-07-29,123456789013,Development,Amazon S3,ap-southeast-1,5.4,USD,2025-07
2025-07-29,123456789014,Testing,Amazon S3,us-east-1,5.66,USD,2025-07
2025-07-29,123456789012,Production,Amazon RDS,us-west-2,13.46,USD,2025-07
2025-07-29,123456789013,Development,Amazon RDS,eu-west-1,14.76,USD,2025-07
2025-07-29,123456789014,Testing,Amazon RDS,us-west-2,13.52,USD,2025-07
2025-07-29,123456789012,Production,AWS Lambda,us-east-1,2.24,USD,2025-07
2025-07-29,123456789013,Development,AWS Lambda,ap-southeast-1,2.08,USD,2025-07
2025-07-29,123456789014,Testing,AWS Lambda,ap-southeast-1,3.1,USD,2025-07
2025-07-29,123456789012,Production,Amazon CloudFront,ap-southeast-1,10.61,USD,2025-07
2025-07-29,123456789013,Development,Amazon CloudFront,ap-southeast-1,12.15,USD,2025-07
2025-07-29,123456789014,Testing,Amazon CloudFront,us-east-1,9.26,USD,2025-07
2025-07-29,123456789012,Production,Amazon DynamoDB,eu-west-1,2.99,USD,2025-07
2025-07-29,123456789013,Development,Amazon DynamoDB,eu-west-1,4.24,USD,2025-07
2025-07-29,123456789014,Testing,Amazon DynamoDB,us-west-2,4.23,USD,2025-07
2025-07-29,123456789012,Production,Amazon ECS,us-east-1,12.22,USD,2025-07
2025-07-29,123456789013,Development,Amazon ECS,ap-southeast-1,16.51,USD,2025-07
2025-07-29,123456789014,Testing,Amazon ECS,eu-west-1,14.47,USD,2025-07
2025-07-29,123456789012,Production,Amazon VPC,us-east-1,1.17,USD,2025-07
2025-07-29,123456789013,Development,Amazon VPC,us-east-1,1.41,USD,2025-07
2025-07-29,123456789014,Testing,Amazon VPC,us-west-2,1.31,USD,2025-07
2025-07-29,123456789012,Production,AWS Data Transfer,eu-west-1,4.87,USD,2025-07
2025-07-29,123456789013,Development,AWS Data Transfer,us-east-1,4.26,USD,2025-07
2025-07-29,123456789014,Testing,AWS Data Transfer,us-east-1,4.3,USD,2025-07
